id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
18,COMP_M,3,3_18,3_(16-18),31,33,18,19,3_16,54.404761904761905,901.5244921584805,955.9292540632424,899.5244588010538,901.5244921584805
29,COMP_M,9,9_41,M.USER.APP.9,14,81,6,23,None,52.68970588235294,904.0000469348267,956.6897528171796,897.0,904.0000469348267
28,COMP_M,3,3_13,M.USER.APP.3,3,28,46,12,None,108.80239520958084,910.0001357058131,1018.802530915394,894.0,910.0001357058131
13,COMP_M,7,7_36,7_(34-36),69,63,8,3,7_34,85.65732087227414,935.6696533440817,1021.3269742163558,924.009008318534,932.0090857185606
30,COMP_M,4,4_19,M.USER.APP.4,7,46,31,22,None,54.641810918774965,941.0000909292,995.641901847975,933.0,941.0000909292
29,COMP_M,9,9_42,9_(41-42),81,77,23,23,9_41,62.15147058823529,956.6897528171796,1018.8412234054149,956.6897528171796,956.6897528171796
29,COMP_M,9,9_44,9_(41-44),81,84,23,23,9_41,50.72352941176471,956.6897528171796,1007.4132822289444,956.6897528171796,956.6897528171796
32,COMP_M,7,7_29,M.USER.APP.7,11,64,30,1,None,60.74541751527495,957.00005801244,1017.745475527715,954.0,957.00005801244
23,COMP_M,7,7_32,7_(31-32),58,67,38,8,7_31,77.58790436005626,957.926460416366,1035.5143647764223,953.9264099021794,957.926460416366
31,COMP_M,4,4_19,M.USER.APP.4,6,34,46,19,None,51.423558897243105,958.0000454646,1009.4236043618431,954.0,958.0000454646
29,COMP_M,9,9_43,9_(41-43),81,78,23,23,9_41,73.28529411764706,958.9750469348267,1032.2603410524737,956.6897528171796,956.6897528171796
23,COMP_M,7,7_35,7_(31-35),58,62,38,48,7_31,37.0395809080326,963.9265829495796,1000.9661638576122,953.9264099021794,963.9265829495796
29,COMP_M,9,9_45,9_(41-45),81,80,23,23,9_41,87.16176470588235,972.851517523062,1060.0132822289443,956.6897528171796,956.6897528171796
27,COMP_M,0,0_1,0_(0-1),15,16,12,12,0_0,110.49900199600799,993.91425399162,1104.413255987628,993.91425399162,993.91425399162
30,COMP_M,4,4_20,4_(19-20),46,43,22,22,4_19,59.51264980026631,995.641901847975,1055.1545516482413,995.641901847975,995.641901847975
